講師名,ID,,,,,,,,,,,
handa,5,,,,,,,,,,,
,,,,,,,,,,,,
指導科目,,,,,,,,,,,,
国語,0,,,,,,,,,,,
数学,1,,,,,,,,,,,
英語,1,,,,,,,,,,,
理科,0,,,,,,,,,,,
社会,0,,,,,,,,,,,
,,,,,,,,,,,,
スケジュール,,,,,,,,,,,,
コマ,1,2,3,4,5,6,7,8,9,10,11,12
7/18,,,,,,,,,,,,
7/19,,,,,,,,,,,,
7/20,,,,,,,,,,,1,
7/21,,,,,,,,,,,1,
7/22,,,,,,,,,,,,
7/23,,,,,,,,,,,1,
7/24,,,,,,,,,,,,
7/25,,,,,,,,,,,,
7/26,,,,,,,,,,,,
7/27,,,,,,,,,,,,
7/28,,,,,,,,,,,1,
7/29,,,,,,,,,,,,
7/30,,,,,,,,,,,1,
7/31,,,,,,,,,,,,
8/1,,,,,,,,,,,,
8/2,,,,,,,,,,,,
8/3,,,,,,,,,,,,
8/4,,,,,,,,,,,1,
8/5,,,,,,,,,,,,
8/6,,,,,,,,,,,1,
8/7,,,,,,,,,,,,
8/8,,,,,,,,,,,,
8/9,,,,,,,,,,,,
8/10,,,,,,,,,,,,
8/11,,,,,,,,,,,1,
8/12,,,,,,,,,,,,
8/13,,,,,,,,,,,,
8/14,,,,,,,,,,,,
8/15,,,,,,,,,,,,
8/16,,,,,,,,,,,,
8/17,,,,,,,,,,,,
8/18,,,,,,,,,,,,
8/19,,,,,,,,,1,1,1,
8/20,,,,,,,,,1,1,1,
8/21,,,,,,,,,,,,
8/22,,,,,,,,,,,,
8/23,,,,,,,,,,,,
8/24,,,,,,,,,,,,
8/25,,,,,,,,,,1,1,
8/26,,,,,,,,,,,,
8/27,,,,,,,,,,1,1,
8/28,,,,,,,,,,,,
8/29,,,,,,,,,,,,
8/30,,,,,,,,,,,,
8/31,,,,,,,,,,,,
